Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other
20200812,CA,586056,64551,16141,222781,20399,883,2197,3198,48781
20200812,WA,64702,15901,2469,18357,2101,711,1121,1075,946
20200809,CA,554160,61932,15502,213410,19659,842,2097,3046,47023
20200809,CO,50660,17378,2349,18193,1004,269,179,634,383
20200809,WA,63072,15379,2357,17976,2064,689,1099,1054,911
20200805,CA,524722,58376,14475,198039,18392,792,1979,2755,45492
20200805,CO,48988,16705,2296,17482,974,260,169,608,361
20200805,WA,60084,14858,2263,17572,2019,695,1075,939,867
20200802,CA,509162,56636,14024,189415,17776,767,1927,2640,45266
20200802,CO,47716,16301,2275,17080,966,258,169,596,338
20200802,WA,57541,14286,2134,17004,1970,663,1048,899,836
20200729,CA,475305,53194,13099,170398,16699,713,1806,2305,45580
20200729,CO,45796,13819,1982,15183,873,217,136,413,315
20200729,WA,54205,13215,1984,15612,1867,626,1005,838,811
20200726,CA,453659,50967,12503,162991,16090,662,1738,2195,43453
20200726,CO,44336,13348,1939,14682,852,214,131,399,300
20200726,WA,52635,12849,1903,15202,1832,611,987,807,802
20200722,CA,413576,46562,11396,146903,14920,587,1590,1967,40455
20200722,CO,41698,12771,1874,13897,840,204,127,381,285
20200722,WA,49247,11704,1743,13990,1715,509,953,699,753
20200719,CA,384692,43542,10678,137657,14187,550,1496,1842,37417
20200719,CO,40142,12367,1840,13460,826,200,122,374,277
20200719,WA,46946,11384,1696,13678,1682,497,920,675,743
20200715,CA,347634,39528,9697,122179,13167,482,1348,1621,35554
20200715,CO,38155,11869,1784,12957,807,189,119,365,273
20200715,WA,43046,10956,1649,13279,1640,483,886,660,725
20200712,CA,320804,36481,9021,112854,12473,446,1243,1531,32060
20200712,CO,36913,11400,1736,12604,783,183,118,345,264
20200712,WA,39218,10048,1520,12295,1545,457,838,587,689
20200708,CA,289468,32447,8125,101464,11635,381,1123,1332,29384
20200708,CO,35116,10955,1684,12074,764,176,115,337,257
20200708,WA,37941,9667,1478,11799,1519,450,815,568,669
20200705,CA,260155,29598,7432,95380,11013,343,1029,1223,25774
20200705,CO,34065,10653,1655,11728,757,171,115,317,255
20200705,WA,35898,9313,1436,11495,1480,441,784,541,660
20200701,CA,232657,26127,6774,86009,10208,298,952,1069,23472
20200701,CO,33029,11355,1776,12494,809,188,125,336,277
20200701,WA,33435,8493,1366,10717,1416,431,747,479,550
20200628,CA,211243,24242,6309,80875,9724,266,900,1019,19484
20200628,CO,32307,11090,1747,12212,794,174,125,326,271
20200628,WA,31752,8116,1311,10297,1354,421,707,447,535
20200624,CA,190222,22500,5845,73357,9259,244,850,925,17930
